TIME;IPSRC;IPDST;FLAGS;SEQ;ACK;WIN;OPTIONS;LENGTH
11:42:06.682075;190-0-175-100.gba.solunet.com.ar.2513;184.107.43.74.http:;[S],;589592255:589592375,;Vide;512,;Vide;120:
11:42:06.682092;190-0-175-100.gba.solunet.com.ar.2514;184.107.43.74.http:;[S],;1666861586:1666861706,;Vide;512,;Vide;120:
11:42:06.682108;190-0-175-100.gba.solunet.com.ar.2515;184.107.43.74.http:;[S],;1444571600:1444571720,;Vide;512,;Vide;120:
11:42:06.682125;190-0-175-100.gba.solunet.com.ar.2516;184.107.43.74.http:;[S],;702975955:702976075,;Vide;512,;Vide;120:
11:42:06.682152;190-0-175-100.gba.solunet.com.ar.2517;184.107.43.74.http:;[S],;2016486038:2016486158,;Vide;512,;Vide;120:
11:42:06.682172;190-0-175-100.gba.solunet.com.ar.2518;184.107.43.74.http:;[S],;1002497398:1002497518,;Vide;512,;Vide;120:
11:42:06.682191;190-0-175-100.gba.solunet.com.ar.2519;184.107.43.74.http:;[S],;294189577:294189697,;Vide;512,;Vide;120:
11:42:06.682210;190-0-175-100.gba.solunet.com.ar.2520;184.107.43.74.http:;[S],;1398461889:1398462009,;Vide;512,;Vide;120:
11:42:06.682227;190-0-175-100.gba.solunet.com.ar.2521;184.107.43.74.http:;[S],;1995017329:1995017449,;Vide;512,;Vide;120:
11:42:06.682243;190-0-175-100.gba.solunet.com.ar.2522;184.107.43.74.http:;[S],;921320533:921320653,;Vide;512,;Vide;120:
11:42:06.682259;190-0-175-100.gba.solunet.com.ar.2523;184.107.43.74.http:;[S],;248505708:248505828,;Vide;512,;Vide;120:
11:42:06.682276;190-0-175-100.gba.solunet.com.ar.2524;184.107.43.74.http:;[S],;558621145:558621265,;Vide;512,;Vide;120:
11:42:06.682292;190-0-175-100.gba.solunet.com.ar.2525;184.107.43.74.http:;[S],;1118905776:1118905896,;Vide;512,;Vide;120:
11:42:06.682308;190-0-175-100.gba.solunet.com.ar.2526;184.107.43.74.http:;[S],;1158043116:1158043236,;Vide;512,;Vide;120:
11:42:06.682325;190-0-175-100.gba.solunet.com.ar.2527;184.107.43.74.http:;[S],;1469406826:1469406946,;Vide;512,;Vide;120:
11:42:06.682341;190-0-175-100.gba.solunet.com.ar.2528;184.107.43.74.http:;[S],;492373102:492373222,;Vide;512,;Vide;120:
11:42:06.682357;190-0-175-100.gba.solunet.com.ar.2529;184.107.43.74.http:;[S],;1687855121:1687855241,;Vide;512,;Vide;120:
11:42:06.682374;190-0-175-100.gba.solunet.com.ar.2530;184.107.43.74.http:;[S],;1360633195:1360633315,;Vide;512,;Vide;120:
11:42:06.682390;190-0-175-100.gba.solunet.com.ar.2531;184.107.43.74.http:;[S],;1274977706:1274977826,;Vide;512,;Vide;120:
11:42:06.682407;190-0-175-100.gba.solunet.com.ar.2532;184.107.43.74.http:;[S],;549939990:549940110,;Vide;512,;Vide;120:
